мова,категория,артикуль,ціна,назва,опис,характеристики
uk,кастрюли,55-333-675,53,"Набір каструль з ковшем Steil + ПОДАРУНКИ: Лопатка, ополоник, картоплемялка","Каструля із кришкою 5,8 л; Каструля із кришкою 4,5 л; Каструля із кришкою 3,4 л; Каструля з кришкою 2,5 л; Каструля із кришкою 1,7 л; Ківш із кришкою 1,2 л; Лопатка; Половник; Толкушка для картоплі","Нержавеющая сталь
5-слойное капсульное дно
Шесть элементов для любых задач
Подходит для всех типов плит"
ru,кастрюли,55-333-675,53,"Набор кастрюль с ковшом Steil + ПОДАРКИ: Лопатка, половник, толкушка","Кастрюля с крышкой 5,8 л; Кастрюля с крышкой 4,5 л; Кастрюля с крышкой 3,4 л; Кастрюля с крышкой 2,5 л; Кастрюля с крышкой 1,7 л; Ковш с крышкой 1,2 л; Лопатка; Половник; Толкушка для картофеля","Нержавеющая сталь
5-слойное капсульное дно
Шесть элементов для любых задач
Подходит для всех типов плит"
de,кастрюли,55-333-675,53,"Topfset mit Schöpfkelle Steil + GESCHENKE: Pfannenwender, Schöpflöffel, Kartoffelstampfer","Topf mit Deckel 5,8 l; Topf mit Deckel 4,5 l; Topf mit Deckel 3,4 l; Topf mit Deckel 2,5 l; Topf mit Deckel 1,7 l; Schöpfkelle mit Deckel 1,2 l; Pfannenwender; Schöpflöffel; Kartoffelstampfer","Edelstahl
5-lagiger Kapselböden
Sechs Elemente für jede Aufgabe
Geeignet für alle Herdarten"
ro,кастрюли,55-333-675,53,"Set oale cu polonic Steil + CADOURI: Spatulă, polonic, pasator de cartofi","Oală cu capac 5,8 l; Oală cu capac 4,5 l; Oală cu capac 3,4 l; Oală cu capac 2,5 l; Oală cu capac 1,7 l; Polonic cu capac 1,2 l; Spatulă; Polonic; Pasator de cartofi","Oțel inoxidabil
Fund capsulat cu 5 straturi
Șase elemente pentru orice sarcină
Potrivit pentru toate tipurile de aragaze"
no,кастрюли,55-333-675,53,"Kasserolle-sett med øse Steil + GAVER: Stekespade, suppeskje, potetstamper","Kasserolle med lokk 5,8 l; Kasserolle med lokk 4,5 l; Kasserolle med lokk 3,4 l; Kasserolle med lokk 2,5 l; Kasserolle med lokk 1,7 l; Øse med lokk 1,2 l; Stekespade; Suppeskje; Potetstamper","Rustfritt stål
5-lags kapselbunnbunn
Seks elementer for alle oppgaver
Passer til alle komfyrtyper"
uk,кастрюли,55-333-644,107,"Набір посуду 12 предметів Krauff Saporis та сковорідки Berlin 26, 28 см","Каструлі з кришками: 1.5 л 2.0 л 3.0 л 5.0 л Сотейник 3.0 л з кришкою Ківш 1.5 л з кришкою Сковорода Berlin 26 см , 28 см","5-слойное капсульное дно;
Нержавеющая сталь премиумкласса;
Стеклянные крышки позволяют контролировать блюдо без потери тепла;
Ручки не нагреваются;
Универсальность: набор совместим со всеми типами плит, включая индукцию."
ru,кастрюли,55-333-644,107,"Набор посуды 12 предметов Krauff Saporis и сковородки Berlin 26, 28 см","Кастрюли с крышками: 1.5 л 2.0 л 3.0 л 5.0 л Сотейник 3.0 л с крышкой Ковш 1.5 л с крышкой Сковорода Berlin 26 см, 28 см","5-слойное капсульное дно;
Нержавеющая сталь премиум-класса;
Стеклянные крышки позволяют контролировать блюдо без потери тепла;
Ручки не нагреваются;
Универсальность: набор совместим со всеми типами плит, включая индукцию."
de,кастрюли,55-333-644,107,"Kochgeschirr-Set 12-teilig Krauff Saporis und Pfannen Berlin 26, 28 cm","Töpfe mit Deckeln: 1,5 l 2,0 l 3,0 l 5,0 l Bratentopf 3,0 l mit Deckel Schöpfkelle 1,5 l mit Deckel Pfanne Berlin 26 cm, 28 cm","5-lagiger Kapselboden;
Edelstahl der Premiumklasse;
Glasdeckel ermöglichen die Kontrolle des Gerichts ohne Wärmeverlust;
Griffe erhitzen sich nicht;
Vielseitigkeit: Set kompatibel mit allen Herdarten, einschließlich Induktion."
ro,кастрюли,55-333-644,107,"Set de gătit 12 piese Krauff Saporis și tigăi Berlin 26, 28 cm","Oale cu capace: 1,5 l 2,0 l 3,0 l 5,0 l Cratiță 3,0 l cu capac Polonic 1,5 l cu capac Tigaie Berlin 26 cm, 28 cm","Fund capsulat cu 5 straturi;
Oțel inoxidabil premium;
Capacele din sticlă permit controlul preparatelor fără pierderi de căldură;
Mânerele nu se încălzesc;
Versatilitate: setul este compatibil cu toate tipurile de aragaze, inclusiv inducție."
no,кастрюли,55-333-644,107,"Kokekar-sett 12 deler Krauff Saporis og stekepanner Berlin 26, 28 cm","Kasseroller med lokk: 1,5 l 2,0 l 3,0 l 5,0 l Stekegryte 3,0 l med lokk Øse 1,5 l med lokk Stekepanne Berlin 26 cm, 28 cm","5-lags kapselbunnbunn;
Premium rustfritt stål;
Glasslokk gir mulighet til å kontrollere maten uten varmetap;
Håndtakene varmes ikke opp;
Allsidighet: settet er kompatibelt med alle komfyrtyper, inkludert induksjon."
uk,кастрюли,28473,66,Набір каструль Steil Krauff з ковшом,"Ківш 1,2л з кришкою Steil ⌀14см; Каструля 1,7л зі скляною кришкою Steil ⌀16см; Каструля 2,5л зі скляною кришкою Steil ⌀18см; Каструля 3,4л зі скляною кришкою Steil ⌀ 20см; Каструля 4,5л зі скляною кришкою Steil ⌀ 22см; Каструля 5,8л зі скляною кришкою Steil ⌀ 24см;","5-слойное термоаккумулирующее дно,
высококачественная нержавеющая сталь (18/10),
крышка с выпуском пара, мерная шкала,
можно мыть в посудомоечной машине."
ru,кастрюли,28473,66,Набор кастрюль Steil Krauff с ковшом,"Ковш 1,2л с крышкой Steil ⌀14см; Кастрюля 1,7л со стеклянной крышкой Steil ⌀16см; Кастрюля 2,5л со стеклянной крышкой Steil ⌀18см; Кастрюля 3,4л со стеклянной крышкой Steil ⌀20см; Кастрюля 4,5л со стеклянной крышкой Steil ⌀22см; Кастрюля 5,8л со стеклянной крышкой Steil ⌀24см;","5-слойное термоаккумулирующее дно,
высококачественная нержавеющая сталь (18/10),
крышка с выпуском пара, мерная шкала,
можно мыть в посудомоечной машине."
de,кастрюли,28473,66,Topfset Steil Krauff mit Schöpfkelle,"Schöpfkelle 1,2l mit Deckel Steil ⌀14cm; Topf 1,7l mit Glasdeckel Steil ⌀16cm; Topf 2,5l mit Glasdeckel Steil ⌀18cm; Topf 3,4l mit Glasdeckel Steil ⌀20cm; Topf 4,5l mit Glasdeckel Steil ⌀22cm; Topf 5,8l mit Glasdeckel Steil ⌀24cm;","5-lagiger wärmespeichernder Boden,
hochwertiger Edelstahl (18/10),
Deckel mit Dampfventil, Maßskala,
spülmaschinenfest."
ro,кастрюли,28473,66,Set oale Steil Krauff cu polonic,"Polonic 1,2l cu capac Steil ⌀14cm; Oală 1,7l cu capac din sticlă Steil ⌀16cm; Oală 2,5l cu capac din sticlă Steil ⌀18cm; Oală 3,4l cu capac din sticlă Steil ⌀20cm; Oală 4,5l cu capac din sticlă Steil ⌀22cm; Oală 5,8l cu capac din sticlă Steil ⌀24cm;","Fund termoaccumulator cu 5 straturi,
oțel inoxidabil de înaltă calitate (18/10),
capac cu supapă de abur, scară gradată,
poate fi spălat în mașina de spălat vase."
no,кастрюли,28473,66,Kasserolle-sett Steil Krauff med øse,"Øse 1,2l med lokk Steil ⌀14cm; Kasserolle 1,7l med glasslokk Steil ⌀16cm; Kasserolle 2,5l med glasslokk Steil ⌀18cm; Kasserolle 3,4l med glasslokk Steil ⌀20cm; Kasserolle 4,5l med glasslokk Steil ⌀22cm; Kasserolle 5,8l med glasslokk Steil ⌀24cm;","5-lags varmeholden bunn,
høykvalitets rustfritt stål (18/10),
lokk med dampventil, måleskalering,
oppvaskmaskinfast."
uk,кастрюли,28567,71,Набір каструль Steil Krauff + ПОДАРУНОК: Сковорода для млинців 24 см Fry Power,"Каструля 5,8 л Каструля 4,5 л Каструля 3,4 л Каструля 2,5 л Каструля 1,7 л Ківш 1,2 л Сковорода для млинців 24 см Fry Power","Нержавеющая сталь
5-шаровое капсульное дно
Равномерный нагрев
Подходить для всех типов плит
Крышки из закаленного стекла"
ru,кастрюли,28567,71,Набор кастрюль Steil Krauff + ПОДАРОК: Сковорода для блинов 24 см Fry Power,"Кастрюля 5,8 л Кастрюля 4,5 л Кастрюля 3,4 л Кастрюля 2,5 л Кастрюля 1,7 л Ковш 1,2 л Сковорода для блинов 24 см Fry Power","Нержавеющая сталь
5-слойное капсульное дно
Равномерный нагрев
Подходит для всех типов плит
Крышки из закалённого стекла"
de,кастрюли,28567,71,Topfset Steil Krauff + GESCHENK: Pfannkuchenpfanne 24 cm Fry Power,"Topf 5,8 l Topf 4,5 l Topf 3,4 l Topf 2,5 l Topf 1,7 l Schöpfkelle 1,2 l Pfannkuchenpfanne 24 cm Fry Power","Edelstahl
5-lagiger Kapselboden
Gleichmäßige Erwärmung
Geeignet für alle Herdarten
Deckel aus gehärtetem Glas"
ro,кастрюли,28567,71,Set oale Steil Krauff + CADOU: Tigaie pentru clătite 24 cm Fry Power,"Oală 5,8 l Oală 4,5 l Oală 3,4 l Oală 2,5 l Oală 1,7 l Polonic 1,2 l Tigaie pentru clătite 24 cm Fry Power","Oțel inoxidabil
Fund capsulat cu 5 straturi
Încălzire uniformă
Potrivit pentru toate tipurile de aragaze
Capace din sticlă călită"
no,кастрюли,28567,71,Kasserolle-sett Steil Krauff + GAVE: Pannekakepanne 24 cm Fry Power,"Kasserolle 5,8 l Kasserolle 4,5 l Kasserolle 3,4 l Kasserolle 2,5 l Kasserolle 1,7 l Øse 1,2 l Pannekakepanne 24 cm Fry Power","Rustfritt stål
5-lags kapselbunnbunn
Jevn oppvarming
Passer til alle komfyrtyper
Lokk av herdet glass"
uk,кастрюли,55-333-554,85,Набір каструль Prime Chef Krauff з сотейником,"Ківш Prime Chef Krauff 2.1 л, 16 см з кришкою; Каструля Prime Chef Krauff 3.8 л, 20 см з кришкою; Каструля Prime Chef Krauff 6.3 л, 24 см з кришкою; Сковорідка Prime Chef Krauff 24 см з антипригарним покриттям;","5-слойное термоаккумулирующее дно,
Высококачественная нержавеющая сталь (18/10),
Крышка с паровыпуском."
ru,кастрюли,55-333-554,85,Набор кастрюль Prime Chef Krauff с сотейником,"Ковш Prime Chef Krauff 2,1 л, 16 см с крышкой; Кастрюля Prime Chef Krauff 3,8 л, 20 см с крышкой; Кастрюля Prime Chef Krauff 6,3 л, 24 см с крышкой; Сковорода Prime Chef Krauff 24 см с антипригарным покрытием;","5-слойное термоаккумулирующее дно,
Высококачественная нержавеющая сталь (18/10),
Крышка с паровыпуском."
de,кастрюли,55-333-554,85,Topfset Prime Chef Krauff mit Bratentopf,"Schöpfkelle Prime Chef Krauff 2,1 l, 16 cm mit Deckel; Topf Prime Chef Krauff 3,8 l, 20 cm mit Deckel; Topf Prime Chef Krauff 6,3 l, 24 cm mit Deckel; Pfanne Prime Chef Krauff 24 cm mit Antihaftbeschichtung;","5-lagiger wärmespeichernder Boden,
Hochwertiger Edelstahl (18/10),
Deckel mit Dampfventil."
ro,кастрюли,55-333-554,85,Set oale Prime Chef Krauff cu cratiță,"Polonic Prime Chef Krauff 2,1 l, 16 cm cu capac; Oală Prime Chef Krauff 3,8 l, 20 cm cu capac; Oală Prime Chef Krauff 6,3 l, 24 cm cu capac; Tigaie Prime Chef Krauff 24 cm cu acoperire antiaderentă;","Fund termoaccumulator cu 5 straturi,
Oțel inoxidabil de înaltă calitate (18/10),
Capac cu supapă de abur."
no,кастрюли,55-333-554,85,Kasserolle-sett Prime Chef Krauff med stekegryte,"Øse Prime Chef Krauff 2,1 l, 16 cm med lokk; Kasserolle Prime Chef Krauff 3,8 l, 20 cm med lokk; Kasserolle Prime Chef Krauff 6,3 l, 24 cm med lokk; Stekepanne Prime Chef Krauff 24 cm med non-stick belegg;","5-lags varmeholden bunn,
Høykvalitets rustfritt stål (18/10),
Lokk med dampventil."
uk,кастрюли,28460,131,"Набір для кухні ""Преміальний""",каструля 1.8 л з кришкою; каструля 2.5 л з кришкою; каструля 3.5 л з кришкою; каструля 6.3 л з кришкою;,"5-слойное капсульное дно;
Нержавеющая сталь премиум-класса;
Удобные ручки и термостойкие стеклянные крышки;
Специальная конструкция кастрюли и крышки для слива жидкости."
ru,кастрюли,28460,131,"Набор для кухни ""Премиальный""","кастрюля 1,8 л с крышкой; кастрюля 2,5 л с крышкой; кастрюля 3,5 л с крышкой; кастрюля 6,3 л с крышкой;","5-слойное капсульное дно;
Нержавеющая сталь премиум-класса;
Удобные ручки и термостойкие стеклянные крышки;
Специальная конструкция кастрюли и крышки для слива жидкости."
de,кастрюли,28460,131,"Küchen-Set ""Premium""","Topf 1,8 l mit Deckel; Topf 2,5 l mit Deckel; Topf 3,5 l mit Deckel; Topf 6,3 l mit Deckel;","5-lagiger Kapselboden;
Edelstahl der Premiumklasse;
Bequeme Griffe und hitzebeständige Glasdeckel;
Spezielle Konstruktion von Topf und Deckel zum Abgießen von Flüssigkeiten."
ro,кастрюли,28460,131,"Set de bucătărie ""Premium""","oală 1,8 l cu capac; oală 2,5 l cu capac; oală 3,5 l cu capac; oală 6,3 l cu capac;","Fund capsulat cu 5 straturi;
Oțel inoxidabil premium;
Mânere confortabile și capace din sticlă termorezistentă;
Constructie specială a oalei și capacului pentru scurgerea lichidelor."
no,кастрюли,28460,131,"Kjøkkensett ""Premium""","kasserolle 1,8 l med lokk; kasserolle 2,5 l med lokk; kasserolle 3,5 l med lokk; kasserolle 6,3 l med lokk;","5-lags kapselbunnbunn;
Premium rustfritt stål;
Komfortable håndtak og varmebestandige glasslokk;
Spesiell konstruksjon av kasserolle og lokk for avrenning av væske."
uk,кастрюли,55-333-535,38,"Каструля Smart Fry Krauff 6,6л зі скляною кришкою +ПОДАРУНОК: лопатка, ополоник та картоплемялка","Каструля Krauff Smart Fry 6,6 л Ø28 см з кришкою Лопатка Krauff Ополоник Krauff Картоплемялка Krauff","Прочный кованый алюминий
Антипригарное покрытие Greblon C2
Тепловой индикатор в виде пламени
Ручки с покрытием soft-touch
Совместимость со всеми типами плит, включая индукционные"
ru,кастрюли,55-333-535,38,"Кастрюля Smart Fry Krauff 6,6л со стеклянной крышкой +ПОДАРОК: лопатка, половник и толкушка","Кастрюля Krauff Smart Fry 6,6 л Ø28 см с крышкой Лопатка Krauff Половник Krauff Толкушка Krauff","Прочный кованый алюминий
Антипригарное покрытие Greblon C2
Тепловой индикатор в виде пламени
Ручки с покрытием soft-touch
Совместимость со всеми типами плит, включая индукционные"
de,кастрюли,55-333-535,38,"Topf Smart Fry Krauff 6,6l mit Glasdeckel +GESCHENK: Pfannenwender, Schöpflöffel und Kartoffelstampfer","Topf Krauff Smart Fry 6,6 l Ø28 cm mit Deckel Pfannenwender Krauff Schöpflöffel Krauff Kartoffelstampfer Krauff","Robustes geschmiedetes Aluminium
Antihaftbeschichtung Greblon C2
Temperaturanzeige in Form einer Flamme
Griffe mit Soft-Touch-Beschichtung
Kompatibel mit allen Herdarten, einschließlich Induktion"
ro,кастрюли,55-333-535,38,"Oală Smart Fry Krauff 6,6l cu capac din sticlă +CADOU: spatulă, polonic și pasator de cartofi","Oală Krauff Smart Fry 6,6 l Ø28 cm cu capac Spatulă Krauff Polonic Krauff Pasator de cartofi Krauff","Aluminiu forjat rezistent
Acoperire antiaderentă Greblon C2
Indicator de căldură în formă de flacără
Mânere cu acoperire soft-touch
Compatibil cu toate tipurile de aragaze, inclusiv inducție"
no,кастрюли,55-333-535,38,"Kasserolle Smart Fry Krauff 6,6l med glasslokk +GAVE: stekespade, suppeskje og potetstamper","Kasserolle Krauff Smart Fry 6,6 l Ø28 cm med lokk Stekespade Krauff Suppeskje Krauff Potetstamper Krauff","Robust smidd aluminium
Non-stick belegg Greblon C2
Temperaturindikator i form av flamme
Håndtak med soft-touch belegg
Kompatibel med alle komfyrtyper, inkludert induksjon"
uk,кастрюли,28480,23,"Каструлі Krauff серії Winzig 1,2 л і 0,7 л","Каструля Winzig з кришкою на 1,2 л; Каструля Winzig з кришкою на 0,7 л;","5-слойное термоаккумулирующее дно,
высококачественная нержавеющая сталь (18/10),
крышка с паровыпуском."
ru,кастрюли,28480,23,"Кастрюли Krauff серии Winzig 1,2 л и 0,7 л","Кастрюля Winzig с крышкой 1,2 л; Кастрюля Winzig с крышкой 0,7 л;","5-слойное термоаккумулирующее дно,
высококачественная нержавеющая сталь (18/10),
крышка с паровыпуском."
de,кастрюли,28480,23,"Töpfe Krauff Serie Winzig 1,2 l und 0,7 l","Topf Winzig mit Deckel 1,2 l; Topf Winzig mit Deckel 0,7 l;","5-lagiger wärmespeichernder Boden,
Hochwertiger Edelstahl (18/10),
Deckel mit Dampfventil."
ro,кастрюли,28480,23,"Oale Krauff seria Winzig 1,2 l și 0,7 l","Oală Winzig cu capac 1,2 l; Oală Winzig cu capac 0,7 l;","Fund termoaccumulator cu 5 straturi,
Oțel inoxidabil de înaltă calitate (18/10),
Capac cu supapă de abur."
no,кастрюли,28480,23,"Kasseroller Krauff serie Winzig 1,2 l og 0,7 l","Kasserolle Winzig med lokk 1,2 l; Kasserolle Winzig med lokk 0,7 l;","5-lags varmeholden bunn,
Høykvalitets rustfritt stål (18/10),
Lokk med dampventil."
uk,кастрюли,55-333-419,49,"Набір каструль Elite Krauff 1,3л, 1,9л, 4,7л","Каструля з кришкою 1,9 л 16 см, Каструля з кришкою 1,3 л 14 см, Каструля з кришкою 4,7 л 22 см, Каструля з кришкою 6,1 л 24 см","Термоаккумулирующее 5-ти слойное дно.
Эргономичные ручки с soft-touch покрытием.
Термостойкая градация литража.
Термостойкое стекло с отверстием для выхода пара."
ru,кастрюли,55-333-419,49,"Набор кастрюль Elite Krauff 1,3л, 1,9л, 4,7л","Кастрюля с крышкой 1,9 л 16 см, Кастрюля с крышкой 1,3 л 14 см, Кастрюля с крышкой 4,7 л 22 см, Кастрюля с крышкой 6,1 л 24 см","Термоаккумулирующее 5-слойное дно.
Эргономичные ручки с soft-touch покрытием.
Термостойкая градация литража.
Термостойкое стекло с отверстием для выхода пара."
de,кастрюли,55-333-419,49,"Topfset Elite Krauff 1,3l, 1,9l, 4,7l","Topf mit Deckel 1,9 l 16 cm, Topf mit Deckel 1,3 l 14 cm, Topf mit Deckel 4,7 l 22 cm, Topf mit Deckel 6,1 l 24 cm","5-lagiger wärmespeichernder Boden.
Ergonomische Griffe mit Soft-Touch-Beschichtung.
Hitzebeständige Litermarkierung.
Hitzebeständiges Glas mit Dampfventil."
ro,кастрюли,55-333-419,49,"Set oale Elite Krauff 1,3l, 1,9l, 4,7l","Oală cu capac 1,9 l 16 cm, Oală cu capac 1,3 l 14 cm, Oală cu capac 4,7 l 22 cm, Oală cu capac 6,1 l 24 cm","Fund termoaccumulator cu 5 straturi.
Mânere ergonomice cu acoperire soft-touch.
Gradație de litraj termorezistentă.
Sticlă termorezistentă cu orificiu pentru abur."
no,кастрюли,55-333-419,49,"Kasserolle-sett Elite Krauff 1,3l, 1,9l, 4,7l","Kasserolle med lokk 1,9 l 16 cm, Kasserolle med lokk 1,3 l 14 cm, Kasserolle med lokk 4,7 l 22 cm, Kasserolle med lokk 6,1 l 24 cm","5-lags varmeholden bunn.
Ergonomiske håndtak med soft-touch belegg.
Varmebestandig literskala.
Varmebestandig glass med dampventil."
uk,кастрюли,55-333-462,90,"Набір каструль Cook&Joy 4,6л, 3,5л, 1,8л та сковорідок Smart Fry Krauff + ПОДАРУНКИ: Сковорода для млинців Smart Fry",,"Индикатор нагрева в виде огня внутри
Стеклянная термостойкая крышка - контроль без открывания.
Нержавеющая сталь 18/10 — надежная основа для приготовления."
ru,кастрюли,55-333-462,90,"Набор кастрюль Cook&Joy 4,6л, 3,5л, 1,8л и сковородок Smart Fry Krauff + ПОДАРКИ: Сковорода для блинов Smart Fry",,"Индикатор нагрева в виде огня внутри
Стеклянная термостойкая крышка – контроль без открывания.
Нержавеющая сталь 18/10 – надёжная основа для приготовления."
de,кастрюли,55-333-462,90,"Topfset Cook&Joy 4,6l, 3,5l, 1,8l und Pfannen Smart Fry Krauff + GESCHENKE: Pfannkuchenpfanne Smart Fry",,"Heizungsanzeige in Form einer Flamme innen
Hitzebeständiger Glasdeckel – Kontrolle ohne Öffnen.
Edelstahl 18/10 – zuverlässige Basis zum Kochen."
ro,кастрюли,55-333-462,90,"Set oale Cook&Joy 4,6l, 3,5l, 1,8l și tigăi Smart Fry Krauff + CADOURI: Tigaie pentru clătite Smart Fry",,"Indicator de încălzire în formă de flacără interior
Capac din sticlă termorezistentă – control fără deschidere.
Oțel inoxidabil 18/10 – bază fiabilă pentru gătit."
no,кастрюли,55-333-462,90,"Kasserolle-sett Cook&Joy 4,6l, 3,5l, 1,8l og stekepanner Smart Fry Krauff + GAVER: Pannekakepanne Smart Fry",,"Varmeindikator i form av flamme innvendig
Varmebestandig glasslokk – kontroll uten åpning.
Rustfritt stål 18/10 – pålitelig grunnlag for matlaging."
uk,кастрюли,28827,29,"Каструля Krauff Moxie 6,5 л +ПОДАРУНОК: Підставка Krauff Galaxy",Каструля Krauff Moxie зі скляною кришкою 6.5 л ⌀24 см; Підставка під гаряче Krauff Galaxy.,"-толщина стенки 0,5мм;
-ручки с силиконовыми вставками;
-5-ти слойное термоаккумулирующее индукционное дно;
-зеркальная полировка снаружи и внутри;
-возможность слива жидкости благодаря конструктиву кастрюли (носик), специальная крышка с отверстиями для слива жидкости."
ru,кастрюли,28827,29,"Кастрюля Krauff Moxie 6,5 л +ПОДАРОК: Подставка Krauff Galaxy","Кастрюля Krauff Moxie со стеклянной крышкой 6,5 л ⌀24 см; Подставка под горячее Krauff Galaxy.","-толщина стенки 0,5мм;
-ручки с силиконовыми вставками;
-5-слойное термоаккумулирующее индукционное дно;
-зеркальная полировка снаружи и внутри;
-возможность слива жидкости благодаря конструктиву кастрюли (носик), специальная крышка с отверстиями для слива жидкости."
de,кастрюли,28827,29,"Topf Krauff Moxie 6,5 l +GESCHENK: Untersetzer Krauff Galaxy","Topf Krauff Moxie mit Glasdeckel 6,5 l ⌀24 cm; Untersetzer für Heißes Krauff Galaxy.","-Wandstärke 0,5mm;
-Griffe mit Silikoneinlagen;
-5-lagiger wärmespeichernder Induktionsboden;
-Spiegelpolierung innen und außen;
-Möglichkeit zum Abgießen von Flüssigkeiten dank der Topfkonstruktion (Ausguss), spezieller Deckel mit Abflussöffnungen."
