,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,категория,артикуль,ціна,назва,опис,характеристики
,,кастрюли,55-333-571,2421,"Набір з 2-х каструль Prime Chef Krauff 3.6л, 6.1л + ПОДАРУНОК: Лопатка, ополоник, пензлик","Каструля Prime Chef Krauff 6,1 л Скляна кришка Каструля Prime Chef Krauff 3,6 л Скляна кришка Лопатка Galaxy Ополоник Galaxy Пензлик Galaxy","Нержавеющая сталь 18/10; 
5-слойное капсульное дно; 
Совместимость со всеми плитами; 
Складные бакелитовые ручки; 
Встроенная мерная шкала;
Стеклянные крышки."
,,кастрюли,55-333-387,2012,"Каструля з кришкою 3,4 л Steil та Сковорода-гриль","Каструля з нержавіючої сталі 3,4 л Ø20 см Krauff; Ложка кулінарна силіконова Schoco.","5-слойное термоаккумулирующее дно;
высококачественная нержавеющая сталь (18/10);
крышка с выпуском пара;
мирная шкала;
можно мыть в посудомоечной машине;
совместимость со всеми видами плит"
,,кастрюли,28483,2104,Набір каструль Steil та сковорідки Hamburg,Каструля Krauff Steil 4.5 л з кришкою Каструля Krauff Steil 3.4 л з кришкою Сковорода Hamburg 20 см,"Нержавеющая сталь 18/10
Антипригарное покрытие 
Мерная шкала в кастрюлях
Термостойкие ручки на заклёпках 
Подходят для всех типов плит"
,,кастрюли,55-333-621,4024,Набір каструль Fry Power,"Каструля Fry Power 2,3 л з кришкою; Каструля Fry Power 4,2 л з кришкою; Каструля Fry Power 6,4 л з кришкою;","Кованый алюминий;
Антипригарное покрытие PTFE;
Наружное мраморное покрытие;
Стеклянные крышки с отверстием для пара;
Совместимость со всеми плитами."
,,кастрюли,28471,2035,"Набір із 2-х каструль Steil Krauff та Ківша 1,2 л Steil","Каструля 3,4л зі скляною кришкою Steil 20см; Каструля 4,5л зі скляною кришкою Steil 22см; Ківш 1,2л зі скляною кришкою діаметр 14см;","5-слойное термоаккумулирующее дно;
высококачественная нержавеющая сталь (18/10);
крышка с паровыпуском; мерная шкала; 
можно мыть в посудомоечной машине."
,,кастрюли,28528,1677,"Каструля з кришкою 2,7л та ківш з кришкою 2л Prime Chef Krauff","Каструля з кришкою 2,7 л ⌀18см Prime Chef ; Ківш з кришкою 2 л ⌀16см Prime Chef;","Подходит для всех видов плит 
Термоаккумулирующее 5-ти слойное дно 
Эргономичные ручки 
Термостойкая градация литража 
Термостойкое стекло с отверстием для выхода пара"
,,кастрюли,55-333-464,3439,Набір каструль Prime Chef Krauff 8 предметів,"Ківш з кришкою 2л Ø 16см; Каструля з кришкою 2.7л Ø 18см; Каструля з кришкою 4,7л Ø 22см; Каструля з кришкою 2,0 л ⌀16 см;","Термоаккумулирующее 5-ти слойное дно. 
Эргономичные ручки. 
Термостойкая градация литража. 
Термостойкое стекло с отверстием для выхода пара."
,,кастрюли,28718,6203,Набір кастрюль з ковшем 10 предметів Cook&Joy,"Ковш 1,8 л з кришкою Каструля 2,5 л Каструля 3,5 л Каструля 4,6 л Каструля 5,8 л","Нержавеющая сталь 18/10 — прочность и гигиена
5-слойное капсульное дно — равномерное тепло без пригорания
Функциональные крышки из закаленного стекла
Внутренняя шкала — точность для ежедневных рецептов"
,,кастрюли,28719,5233,Набір каструль Elegance та ковша,"16x10,5см ківш з кришкою, 2,0л 20x11,5см каструля з кришкою, 3,7л 24x14,5см каструля з кришкою, 6,3л сковорода зі знімною ручкою, діам 26см.","Возможность слива жидкости, при фиксации крышки с помощью подвижных боковых ручек;
Геометрия ручки на крышке позволяет размещать кухонное оборудование; 
Ручки с софт-тач покрытием."
,,кастрюли,28729,2015,"Каструля 6,3 л Herzog Krauff","Каструля Krauff Herzog, зі скляною кришкою, 24 см, 6,3 л","Крышки с отверстиями для слива жидкости.                                                                                                                                                                                                                                                                                                       
5-ти слойное термоаккумулирующее дно.
Градация литража"
,,кастрюли,55-333-374,1990,Набір каструль із кришками Steil Krauff + ПОДАРУНКИ: Дошка обробна,"Каструля 3,4 л зі скляною кришкою Steil Ø20см; Каструля 2,5 л зі скляною кришкою Steil Ø18см; Каструля 4,5 л зі скляною кришкою Steil Ø22 см; Дошка обробна пластикова KuchenArt","5-слойное термоаккумулирующее дно,
высококачественная нержавеющая сталь (18/10),
крышка с выпуском пара,
мерная шкала,
можно мыть в посудомоечной машине."
,,кастрюли,55-333-400,2323,Набір каструль 6 предметів Steil Krauff,"Каструля з кришкою Steil ⌀18 см — 2,5 л Каструля з кришкою Steil ⌀20 см — 3,4 л Каструля з кришкою Steil ⌀22 см — 4,5 л","5-слойное термоаккумулирующее дно;
высококачественная нержавеющая сталь (18/10);
крышка с выпуском пара;
мерная шкала;
можно мыть в посудомоечной машине."
,,кухонные аксессуары,55-333-410,2506,Набір ножів на підставці Prime Chef Krauff,"Підставка; ніж повара 20,5 см; ніж слайсерний 20,8 см; ніж для хліба 20,8 см; ніж універсальний 12,8 см; ніж для чистки овочів 9,5 см;","Цельнометаллическая конструкция
Высококачественная нержавеющая сталь
Эргономичные ручки
Стильный дизайн"
,,кухонные аксессуары,55-333-418,2365,Набір ножів Luxus,Набір ножів Luxus 5 предметів на підставці,"Лезвия из высококачественной стали X30Cr14 - устойчивы к коррозии, долго остаются острыми
Эргономичные ручки из ABS-пластика - прочные, не скользят, приятные на ощупь
Идеальны для ежедневного использования на любой кухне"
,,кухонные аксессуары,55-333-635,3097,Набір із 5-ти ножів на підставці Prime Chef Krauff,"Ніж кухаря 20,5 см; Ніж сантоку 17,5 см; Ніж сантоку 13,5 см; Універсальний ніж 12,5 см; Ніж для очищення овочів 9 см;","Нержавеющая сталь;
Прочные ручки;
Стильная деревянная подставка;
Простота в уходе."
,,кухонные аксессуары,55-333-562,2345,Набір із 5-ти ножів Solvar Krauff,"Кухарський ніж 20,5 см; Ніж сантоку 17,5 см; Ніж сантоку 13,5 см; Універсальний ніж 12,8 см; Ніж для овочів 9 см; Підставка для зберігання ножів;","Идеальная острота;
Сплошные лезвия;
Полный набор;
Стильный блок."
,,кухонные аксессуары,28252,3273,Набір ножів на підставці Prime Сhef,"Кухарський ніж 20,5 см; Ніж сантоку 17,5 см; Ніж сантоку 13,5 см; Універсальний ніж 12,8 см; Ніж для овочів 9 см; Підставка для зберігання ножів;","Высококачественная нержавеющая сталь 
Эргономичные ручки из ABS-пластика
Оптимальный баланс
Современный дизайн"
,,кухонные аксессуары,55-333-676,1499,Набір скляних контейнерів Locker + ПОДАРУНКИ: Термокружки Komfort 380 мл 2 шт,Контейнер із кришкою 1500 мл; Контейнер із кришкою 1040 мл; Контейнер із кришкою 640 мл; Контейнер із кришкою 380 мл; Термокружка Komfort 380 мл; Термокружка Komfort 380 мл,"-герметичные крышки с силиконовыми уплотнителями
-термостойкое стекло
-выдерживает подогрев в микроволновке (без использования крышки)
-универсальность хранения"
,,кухонные аксессуары,55-333-351,1575,Набір скляних ємностей для зберігання та Термос 600мл,"Ємність для зберігання Prime Chef Krauff 1,7 л з кришкою висотою 30 см; Ємність для зберігання Prime Chef Krauff 0,84 л з кришкою висотою 17 см; Ємність для зберігання Prime Chef Krauff 0,58 л з кришкою висотою 13 см; Термос 600 мл","Крышки с инновационным механизмом открывания;
Счетчик дней на крышках;
Разнообразие объемов;"
,,кухонные аксессуары,55-333-524,1500,Чайник Krauff Nebion 3 л,Тришарове феромагнітне дно Безпечне та контрольоване наливання,"Изысканные линии корпуса.
Точная геометрия ручки.
Трёхслойное ферромагнитное дно
Безопасный и контролируемый налив."
,,набор посуды,кераміка,,Набори керамічного посуду 15 шт. Набір каструль та сковорідок з антипригарним покриттям (чорний 15),"Набір керамічного посуду з антипригарним покриттям】Набір керамічного посуду з антипригарним покриттям нетоксичний та корисніший за тефлонове покриття!
 【Набір каструль та сковорідок з антипригарним покриттям (15 шт.)】з фритюрницею 9 дюймів/11 дюймів, фритюрницею з кришкою 11 дюймів/4,5 кварти, кришкою тушкованої кришки об'ємом 1,5 кварти, силіконовими лопатками, ложками та плоскогубцями, а також 4 багаторазовими захисними чохлами ідеально підходять для щоденного приготування їжі.","Керамическое антипригарное покрытие безопасно и нетоксично
Устойчиво к царапинам и обеспечивает отличное скольжение продуктов
Посуда легко очищается
Подходит для всех типов плит
Ненагревающиеся бакелитовые ручки"
,,набор посуды ,кераміка,,"Набір керамічних каструль і сковорідок Kikcoin з 16 предметів з антипригарним покриттям, включає сковороду-гриль 9,5 дюйма, набір індукційного кухонного посуду","Виготовлене з натуральних мінералів, воно не виділяє випарів при перегріванні.","Керамическое антипригарное покрытие безопасно и нетоксично
Устойчиво к царапинам и обеспечивает отличное скольжение продуктов
Посуда легко очищается
Подходит для всех типов плит
Ненагревающиеся бакелитовые ручки"
